Title,Price (GBP),Price (INR),Rating,Stock Count,Category
A Light in the Attic,51.77,5435.85,3,22,Poetry
Tipping the Velvet,53.74,5642.7,1,20,Historical Fiction
Soumission,50.1,5260.5,1,20,Fiction
Sharp Objects,47.82,5021.1,4,20,Mystery
Sapiens: A Brief History of Humankind,54.23,5694.15,5,20,History
The Requiem Red,22.65,2378.25,1,19,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,33.34,3500.7,4,19,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,1882.65,3,19,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,2373.0,4,19,Default
The Black Maria,52.15,5475.75,1,19,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,1468.95,2,19,Default
Shakespeare's Sonnets,20.66,2169.3,4,19,Poetry
Set Me Free,17.46,1833.3,5,19,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5490.45,5,19,Sequential Art
Rip it Up and Start Again,35.02,3677.1,5,19,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,6011.25,3,19,Music
Olio,23.88,2507.4,1,19,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,3946.95,1,19,Science Fiction
Libertarianism for Beginners,51.33,5389.65,2,19,Politics
It's Only the Himalayas,45.17,4742.85,2,19,Travel
In Her Wake,12.84,1348.2,1,19,Thriller
How Music Works,37.32,3918.6,2,19,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3204.6,3,19,Food and Drink
Chase Me (Paris Nights #2),25.27,2653.35,5,19,Romance
Black Dust,34.53,3625.65,5,19,Romance
Birdsong: A Story in Pictures,54.64,5737.2,3,19,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,2362.5,3,19,Default
Aladdin and His Wonderful Lamp,53.13,5578.65,3,19,Default
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,4231.5,5,18,Nonfiction
Wall and Piece,44.18,4638.9,4,18,Art
The Four Agreements: A Practical Guide to Personal Freedom,17.66,1854.3,5,18,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3260.25,3,18,Nonfiction
The Elephant Tree,23.82,2501.1,5,18,Thriller
The Bear and the Piano,36.89,3873.45,1,18,Childrens
Sophie's World,15.94,1673.7,5,18,Philosophy
Penny Maybe,33.29,3495.45,3,18,Default
Maude (1883-1993):She Grew Up with the country,18.02,1892.1,2,18,Default
